"X.ppt_224428.","X.E5FXB3tr.Glycine.rich.RNA.binding.protein..Sequoia.sempervirens..California.redwood...Taxodium.sempervirens..","X.GO.0006397..GO.0051252..GO.0003729..GO.0005634..GO.1990904.","X.NO.H."
"ppt_285974","A0A1D1XHA3tr=Replication protein A DNA-binding subunit  Anthurium amnicola","GO:0000723, GO:0006261, GO:0006281, GO:0006310, GO:0003697, GO:0008270, GO:0043565, GO:0000228","HUB"
"ppt_237112","Q9SZ90sp=Endoglucanase 18 Arabidopsis thaliana (Mouse-ear cress)","GO:0000272, GO:0009987, GO:0004553","HUB"
"ppt_131135","A0A0C9RZG2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_67_1762 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_162970","---NA---","","HUB"
"ppt_137042","A0A0B0MK84tr=L-ascorbate oxidase  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0008447, GO:0005886","HUB"
"ppt_126443","---NA---","","HUB"
"ppt_121936","M8BWJ8tr=Disease resistance protein RGA2  Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)","GO:0006952, GO:0000166, GO:0005524, GO:0043531","HUB"
"ppt_230610","A0A0B0N690tr=Lysosomal beta glucosidase  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0005975, GO:0004553","HUB"
"ppt_84623","---NA---","","HUB"
"ppt_173785","---NA---","","HUB"
"ppt_27248","B3TLP8tr=Ubiquitin extension protein-like protein  Elaeis guineensis var. tenera (Oil palm)","GO:0006412, GO:0016567, GO:0019941, GO:0003735, GO:0031386, GO:0031625, GO:0005634, GO:0005737, GO:0005840","HUB"
"ppt_72823","Q8GU32tr=Putative auxin induced cell wall protein  Pinus pinaster (Maritime pine)","","HUB"
"ppt_268886","---NA---","","HUB"
"ppt_241839","---NA---","","HUB"
"ppt_93225","---NA---","","HUB"
"ppt_58155","Q2XQF7tr=NAC protein 1 splice variant 1  Elaeis guineensis var. tenera (Oil palm)","GO:0006355, GO:0003677, GO:0005634","HUB"
"ppt_80184","---NA---","","HUB"
"ppt_248871","---NA---","","HUB"
"ppt_255780","A0A0G7ZNW9tr=Cytochrome P450 CYP92A40  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_71786","---NA---","","HUB"
"ppt_86132","---NA---","","HUB"
"ppt_37743","A0A0C9RX10sp=Cytochrome b6-f complex iron-sulfur subunit  Wollemia nobilis","GO:0022900, GO:0055114, GO:0008121, GO:0009496, GO:0016491, GO:0016679, GO:0045158, GO:0046872, GO:0051536, GO:0051537, GO:0009507, GO:0009535, GO:0009536, GO:0009579, GO:0016020, GO:0016021, GO:0042651","HUB"
"ppt_49384","B8LRP8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_129661","W9QHJ5tr=Putative receptor-like protein kinase  Morus notabilis","GO:0006468, GO:0016310, GO:0004672, GO:0005524, GO:0016301, GO:0030247, GO:0016020, GO:0016021","HUB"
"ppt_256719","A0A078GKL6tr=BnaA02g10950D protein  Brassica napus (Rape)","GO:0030042, GO:0051015, GO:0005737, GO:0015629","HUB"
"ppt_139418","J3MZL3tr=Uncharacterized protein  Oryza brachyantha (malo sina)","","HUB"
"ppt_197244","---NA---","","HUB"
"ppt_194467","A9P1C4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0055114, GO:0016491, GO:0046872","HUB"
"ppt_173779","---NA---","","HUB"
"ppt_218712","---NA---","","HUB"
"ppt_180946","A0A0B0MWH8tr=Syntaxin-43-like protein  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006886, GO:0006906, GO:0048278, GO:0000149, GO:0005484, GO:0012505, GO:0016021, GO:0031201","HUB"
"ppt_194484","---NA---","","HUB"
"ppt_107996","W9RKR6tr=LRR receptor-like serine/threonine-protein kinase FLS2  Morus notabilis","GO:0016310, GO:0016301, GO:0016020, GO:0016021","HUB"
"ppt_62763","---NA---","","HUB"
"ppt_97640","---NA---","","HUB"
"ppt_255783","A0A0G7ZNW9tr=Cytochrome P450 CYP92A40  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_214740","---NA---","","HUB"
"ppt_187621","Q9FEG2sp=Tobamovirus multiplication protein 1 Arabidopsis thaliana (Mouse-ear cress)","GO:0046786, GO:0005515, GO:0009705","HUB"
"ppt_101988","A9NNL9tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_115976","Q40862tr=Late embryogenesis abundant protein  Picea glauca (White spruce) (Pinus glauca)","","HUB"
"ppt_218721","---NA---","","HUB"
"ppt_218722","---NA---","","HUB"
"ppt_37194","A0A1D1Y995tr=Abhydrolase domain-containing protein FAM108B1  Anthurium amnicola","GO:0016787, GO:0005886","HUB"
"ppt_215945","C0PQN5sp=Cysteine proteinase inhibitor  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0010951, GO:0004869","HUB"
"ppt_182956","Q8GWQ2sp=AT-hook motif nuclear-localized protein 20  Arabidopsis thaliana (Mouse-ear cress)","GO:0045824, GO:0050794, GO:1900425, GO:0003677, GO:0110165","HUB"
"ppt_239789","F1DGA8tr=Phosphoenolpyruvate carboxylase kinase  Coffea arabica (Arabian coffee)","GO:0018105, GO:0035556, GO:0046777, GO:0005516, GO:0005524, GO:0009931, GO:0005634, GO:0005737","HUB"
"ppt_124856","D8T797tr=ATP-binding cassette transporter  Selaginella moellendorffii (Spikemoss)","GO:0000166, GO:0016020","HUB"
"ppt_139746","---NA---","","HUB"
"ppt_133681","U5D6J7sp=Poly","GO:0006302, GO:0070212, GO:0003950, GO:1990404, GO:0005730","HUB"
"ppt_162966","---NA---","","HUB"
"ppt_214731","---NA---","","HUB"
"ppt_159986","---NA---","","HUB"
"ppt_216127","A0A0C9SAG3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_3650_1556 transcribed RNA sequence  Wollemia nobilis","GO:0009738, GO:0080163, GO:0004864, GO:0010427, GO:0038023, GO:0005634, GO:0005737","HUB"
"ppt_168355","V5L6K7tr=Tau class glutathione S-transferase  Larix kaempferi","GO:0016740","HUB"
"ppt_163364","---NA---","","HUB"
"ppt_219574","A0A061DSX0tr=Galactose oxidase/kelch repeat superfamily protein isoform 1  Theobroma cacao (Cacao) (Cocoa)","","HUB"
"ppt_144727","G9B4E9tr=Class I chitinase  Pinus contorta (Shore pine) (Lodgepole pine)","GO:0005975, GO:0006032, GO:0016998, GO:0004568, GO:0008061","HUB"
"ppt_85709","Q41046sp=Phytochrome Pinus sylvestris (Scots pine)","GO:0000160, GO:0006355, GO:0009584, GO:0009585, GO:0017006, GO:0018298, GO:0023014, GO:0000155, GO:0009881, GO:0042803, GO:0005634","HUB"
"ppt_178455","D5AAE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_220399","---NA---","","HUB"
"ppt_33922","---NA---","","HUB"
"ppt_177965","A0A0C9S8B2tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_11795_5173 transcribed RNA sequence  Wollemia nobilis","GO:0000166, GO:0016020","HUB"
"ppt_58154","A9NPH4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677","HUB"
"ppt_170391","A0A1D1XR97tr=Potassium transporter 5  Anthurium amnicola","GO:0006813, GO:0015079, GO:0016020","HUB"
"ppt_220398","A0A0D6R3D1sp=Pectate lyase  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","GO:0045490, GO:0030570, GO:0046872","HUB"
"ppt_107250","---NA---","","HUB"
"ppt_76942","A0A0K0M729tr=LRK1  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0016020","HUB"
"ppt_109521","---NA---","","HUB"
"ppt_150951","B8LPL5tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0046983","HUB"
"ppt_36005","A0A061EF48tr=TPX2 protein family, putative  Theobroma cacao (Cacao) (Cocoa)","GO:0032147, GO:0060236, GO:0005819, GO:0005874","HUB"
"ppt_56052","---NA---","","HUB"
"ppt_72693","B9RDF4tr=Spastin, putative  Ricinus communis (Castor bean)","GO:0031122, GO:0051013, GO:0005524, GO:0008568, GO:0005634","HUB"
"ppt_255784","A0A0G7ZNQ8tr=Cytochrome P450 CYP92A105  Picea glauca (White spruce) (Pinus glauca)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_242270","W1PX44tr=Uncharacterized protein  Amborella trichopoda","GO:0031222, GO:0045493, GO:0009044, GO:0046556, GO:0005773, GO:0009505","HUB"
"ppt_42438","Q10D72tr=Phosphatidylinositol 3-and 4-kinase family protein, expressed  Oryza sativa subsp. japonica (Rice)","GO:0000184, GO:0006468, GO:0004674, GO:0005524","HUB"
"ppt_129711","A0A0C9RYA0sp=Beta-galactosidase  Wollemia nobilis","GO:0004553, GO:0110165","HUB"
"ppt_71784","---NA---","","HUB"
"ppt_111335","A9NTH7tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_203219","---NA---","","HUB"
"ppt_202457","A0A151S063tr=Transcription factor bHLH62  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0006355, GO:0003700, GO:0046983, GO:0005634","HUB"
"ppt_222279","B9MV61tr=Cyclin family protein  Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)","GO:0000079, GO:0019901","HUB"
"ppt_110265","X5CFI0tr=GA2ox3  Pinus tabuliformis (Chinese pine) (Pinus leucosperma)","GO:0055114, GO:0016491, GO:0046872","HUB"
"ppt_42437","Q10D72tr=Phosphatidylinositol 3-and 4-kinase family protein, expressed  Oryza sativa subsp. japonica (Rice)","GO:0006807, GO:0016310, GO:0044238, GO:0044260, GO:0000166, GO:0016301","HUB"
"ppt_194908","A0A0C9QR68tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13132_1327 transcribed RNA sequence  Wollemia nobilis","GO:0005975, GO:0004553","HUB"
"ppt_139413","J3MZL3tr=Uncharacterized protein  Oryza brachyantha (malo sina)","","HUB"
"ppt_75268","---NA---","","HUB"
"ppt_178456","D5AAE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_247650","---NA---","","HUB"
"ppt_177336","A9SUD4tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","","HUB"
"ppt_274801","B9I5B4sp=Pectinesterase  Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)","GO:0016787","HUB"
"ppt_240173","A0A0C9RG75tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_28573_1268 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_158239","A0A0R0KKI4tr=Uncharacterized protein  Glycine max (Soybean) (Glycine hispida)","","HUB"
"ppt_178454","D5AAE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_51194","G7K3P8tr=Kinase interacting (KIP1-like) family protein, putative  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0016740, GO:0051015, GO:0005774, GO:0005886","HUB"
"ppt_51193","A0A061EL73tr=Kinase interacting family protein, putative  Theobroma cacao (Cacao) (Cocoa)","GO:0051015, GO:0005774, GO:0005886","HUB"
"ppt_69713","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_127540","M8BNF4tr=DNA polymerase epsilon subunit 2  Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)","GO:0006261, GO:0042276, GO:0008622","HUB"
"ppt_246557","W9QYD4tr=Putative E3 ubiquitin-protein ligase LIN-1  Morus notabilis","GO:0016567, GO:0004842","HUB"
"ppt_201722","---NA---","","HUB"
"ppt_58156","A9NPH4tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006355, GO:0003677","HUB"
"ppt_235556","A0A199UFU5tr=Protein SULFUR DEFICIENCY-INDUCED 1  Ananas comosus (Pineapple) (Ananas ananas)","GO:0009987","HUB"
"ppt_218725","---NA---","","HUB"
"ppt_285730","---NA---","","HUB"
"ppt_187667","---NA---","","HUB"
"ppt_128963","D5MD96tr=Telomerase reverse transcriptase catalytic subunit  Doryanthes excelsa","GO:0005488, GO:0016740, GO:0043229","HUB"
"ppt_241712","Isoform2 of Polyubiquitin 14 OS=Arabidopsis thaliana GN=UBQ14","GO:0006511, GO:0016567, GO:0031386, GO:0031625, GO:0005634, GO:0005737","HUB"
"ppt_256716","A0A078GKL6tr=BnaA02g10950D protein  Brassica napus (Rape)","GO:0030042, GO:0051015, GO:0005737, GO:0015629","HUB"
"ppt_60250","---NA---","","HUB"
"ppt_139411","---NA---","","HUB"
"ppt_234594","Q43731sp=Peroxidase 50 Arabidopsis thaliana (Mouse-ear cress)","GO:0008152, GO:0009987, GO:0050896, GO:0005515, GO:0016491, GO:0005737","HUB"
"ppt_69720","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_19084","A0A151T6R4tr=Uncharacterized protein  Cajanus cajan (Pigeon pea) (Cajanus indicus)","","HUB"
"ppt_211330","I1JLC8sp=Protein SLE2  Glycine max (Soybean) (Glycine hispida)","GO:0009737, GO:0050821, GO:0005829","HUB"
"ppt_233300","---NA---","","HUB"
"ppt_115462","A9NYJ8tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_250508","EnsemblPlants:TRIUR3_02904-P1} Triticum urartu (Red wild einkorn) (Crithodium urartu)","GO:0016021","HUB"
"ppt_93626","A0A142KWC4sp=Kinesin-like protein  Marsilea vestita (Hairy waterclover)","GO:0007018, GO:0051225, GO:0000166, GO:0003777, GO:0008017, GO:0016887, GO:0005871, GO:0005874","HUB"
"ppt_84525","---NA---","","HUB"
"ppt_147194","---NA---","","HUB"
"ppt_69714","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_126533","---NA---","","HUB"
"ppt_51071","A0A0B0P9R6tr=Wall-associated receptor kinase-like 20  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0016310, GO:0004672, GO:0016020","HUB"
"ppt_239783","F1DGA8tr=Phosphoenolpyruvate carboxylase kinase  Coffea arabica (Arabian coffee)","GO:0018105, GO:0035556, GO:0046777, GO:0005516, GO:0005524, GO:0009931, GO:0005634, GO:0005737","HUB"
"ppt_221595","---NA---","","HUB"
"ppt_139419","---NA---","","HUB"
"ppt_179116","C0PRI0sp=Ferritin  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0006826, GO:0006880, GO:0055114, GO:0004322, GO:0008198, GO:0008199, GO:0009507","HUB"
"ppt_216125","A0A0C9SAG3tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_3650_1556 transcribed RNA sequence  Wollemia nobilis","GO:0009738, GO:0080163, GO:0004864, GO:0010427, GO:0038023, GO:0005634, GO:0005737","HUB"
"ppt_168354","V5L6K7tr=Tau class glutathione S-transferase  Larix kaempferi","GO:0016740","HUB"
"ppt_214732","---NA---","","HUB"
"ppt_237113","Q9SZ90sp=Endoglucanase 18 Arabidopsis thaliana (Mouse-ear cress)","GO:0000272, GO:0009987, GO:0004553","HUB"
"ppt_218723","---NA---","","HUB"
"ppt_70695","---NA---","","HUB"
"ppt_231180","Q71H73sp=Histone H3.3 Vitis vinifera (Grape)","GO:0003677, GO:0046982, GO:0000786, GO:0030875","HUB"
"ppt_60196","---NA---","","HUB"
"ppt_253917","A0A0E0RFN5sp=S-acyltransferase  Oryza rufipogon (Brownbeard rice) (Asian wild rice)","GO:0006612, GO:0018230, GO:0016409, GO:0016740, GO:0016746, GO:0019706, GO:0005783, GO:0005794, GO:0016020, GO:0016021","HUB"
"ppt_194909","A0A0C9QR68tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13132_1327 transcribed RNA sequence  Wollemia nobilis","GO:0005975, GO:0004553","HUB"
"ppt_203221","---NA---","","HUB"
"ppt_71785","---NA---","","HUB"
"ppt_71787","---NA---","","HUB"
"ppt_142887","F4KAB8sp=DNA replication licensing factor MCM6 Arabidopsis thaliana (Mouse-ear cress)","GO:0000727, GO:0006267, GO:0006268, GO:0006270, GO:1902969, GO:0003688, GO:0003697, GO:0005515, GO:0005524, GO:0046872, GO:1990518, GO:0000347, GO:0042555","HUB"
"ppt_208253","---NA---","","HUB"
"ppt_254564","---NA---","","HUB"
"ppt_252493","---NA---","","HUB"
"ppt_163856","---NA---","","HUB"
"ppt_228196","A0A1D6JGC8tr=Uncharacterized protein  Zea mays (Maize)","GO:0006811, GO:0051453, GO:0120029, GO:1902600, GO:0000166, GO:0005524, GO:0008553, GO:0016887, GO:0005886, GO:0016020, GO:0016021","HUB"
"ppt_69719","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_186779","---NA---","","HUB"
"ppt_40143","---NA---","","HUB"
"ppt_220402","---NA---","","HUB"
"ppt_193963","A0A151T5X1tr=Condensin-2 complex subunit D3  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0022402","HUB"
"ppt_51333","---NA---","","HUB"
"ppt_101820","G7IM87tr=Serine/Threonine kinase family protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0006468, GO:0007178, GO:0016310, GO:0000166, GO:0004672, GO:0004674, GO:0004675, GO:0005524, GO:0016301, GO:0016740, GO:0005886, GO:0016020, GO:0016021","HUB"
"ppt_203185","---NA---","","HUB"
"ppt_140561","---NA---","","HUB"
"ppt_100670","B8LR16tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","GO:0043531","HUB"
"ppt_135726","---NA---","","HUB"
"ppt_93624","A0A142KWC5tr=Kinesin 14-Ib protein  Marsilea vestita (Hairy waterclover)","GO:0007018, GO:0051225, GO:0000166, GO:0003777, GO:0008017, GO:0016887, GO:0005871, GO:0005874","HUB"
"ppt_114799","Q40862tr=Late embryogenesis abundant protein  Picea glauca (White spruce) (Pinus glauca)","","HUB"
"ppt_247508","---NA---","","HUB"
"ppt_121553","---NA---","","HUB"
"ppt_69717","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_186728","---NA---","","HUB"
"ppt_197241","---NA---","","HUB"
"ppt_55036","O65012sp=Cytochrome P450 78A4 Pinus radiata (Monterey pine) (Pinus insignis)","GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0016021","HUB"
"ppt_69718","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_151882","A0A061FHN7tr=Topbp1, putative isoform 5  Theobroma cacao (Cacao) (Cocoa)","GO:0044774, GO:0044818","HUB"
"ppt_180938","A0A0B0MWH8tr=Syntaxin-43-like protein  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006886, GO:0006906, GO:0048278, GO:0000149, GO:0005484, GO:0012505, GO:0016021, GO:0031201","HUB"
"ppt_194907","A0A0C9QR68tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_13132_1327 transcribed RNA sequence  Wollemia nobilis","GO:0005975, GO:0004553","HUB"
"ppt_56275","---NA---","","HUB"
"ppt_223639","---NA---","","HUB"
"ppt_97895","---NA---","","HUB"
"ppt_103611","---NA---","","HUB"
"ppt_178453","D5AAE3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_54773","---NA---","","HUB"
"ppt_144729","D7P710tr=Class IV chitinase 4-4  Pseudotsuga menziesii (Douglas-fir) (Abies menziesii)","GO:0005975, GO:0006032, GO:0016998, GO:0004568, GO:0008061","HUB"
"ppt_61131","---NA---","","HUB"
"ppt_180944","A0A0B0MWH8tr=Syntaxin-43-like protein  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006886, GO:0006906, GO:0048278, GO:0000149, GO:0005484, GO:0012505, GO:0016021, GO:0031201","HUB"
"ppt_257430","---NA---","","HUB"
"ppt_236351","---NA---","","HUB"
"ppt_250364","W9RM29tr=Histone-lysine N-methyltransferase ATX1  Morus notabilis","GO:0034968, GO:0048578, GO:0018024, GO:0046872, GO:0005634","HUB"
"ppt_256090","A9TR88tr=Predicted protein  Physcomitrella patens subsp. patens (Moss)","GO:0009553, GO:0048316","HUB"
"ppt_131746","---NA---","","HUB"
"ppt_121032","---NA---","","HUB"
"ppt_137573","---NA---","","HUB"
"ppt_97888","---NA---","","HUB"
"ppt_118744","A9NUR3tr=Putative uncharacterized protein  Picea sitchensis (Sitka spruce) (Pinus sitchensis)","","HUB"
"ppt_42551","---NA---","","HUB"
"ppt_69710","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_72686","B9RDF4tr=Spastin, putative  Ricinus communis (Castor bean)","GO:0031122, GO:0000166, GO:0008568, GO:0005634","HUB"
"ppt_97893","---NA---","","HUB"
"ppt_114795","Q40862tr=Late embryogenesis abundant protein  Picea glauca (White spruce) (Pinus glauca)","","HUB"
"ppt_163931","---NA---","","HUB"
"ppt_70386","W1PNH7sp=Ribonucleoside-diphosphate reductase  Amborella trichopoda","GO:0006260, GO:0009263, GO:0055114, GO:0004748, GO:0005524, GO:0005971","HUB"
"ppt_218137","---NA---","","HUB"
"ppt_232120","W9SLD3tr=Cytochrome P450 87A3  Morus notabilis","GO:0007275, GO:0010268, GO:0016125, GO:0016132, GO:0055114, GO:0004497, GO:0005506, GO:0016705, GO:0020037","HUB"
"ppt_37196","A0A1D1Y995tr=Abhydrolase domain-containing protein FAM108B1  Anthurium amnicola","GO:0016787, GO:0005886","HUB"
"ppt_228197","---NA---","","HUB"
"ppt_136122","---NA---","","HUB"
"ppt_242156","A0A166AG98sp=Beta-galactosidase  Daucus carota subsp. sativus","GO:0004553, GO:0110165","HUB"
"ppt_168296","A0A0C9RR95tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_20123_779 transcribed RNA sequence  Wollemia nobilis","GO:0006457, GO:0009408, GO:0009651, GO:0042542, GO:0051259, GO:0043621, GO:0051082","HUB"
"ppt_173789","---NA---","","HUB"
"ppt_218097","---NA---","","HUB"
"ppt_167605","A0A103Y834tr=Barwin-like endoglucanase  Cynara cardunculus var. scolymus (Artichoke) (Cynara scolymus)","GO:0006949, GO:0009506","HUB"
"ppt_107251","---NA---","","HUB"
"ppt_253916","A0A0E0RFN5sp=S-acyltransferase  Oryza rufipogon (Brownbeard rice) (Asian wild rice)","GO:0006612, GO:0018230, GO:0016409, GO:0016740, GO:0016746, GO:0019706, GO:0005783, GO:0005794, GO:0016020, GO:0016021","HUB"
"ppt_140063","E7EAQ2tr=Asparagine synthetase  Pinus pinaster (Maritime pine)","GO:0006529, GO:0006541, GO:0004066, GO:0005524, GO:0005829","HUB"
"ppt_70385","A0A0D2QFR9sp=Ribonucleoside-diphosphate reductase  Gossypium raimondii (New World cotton)","GO:0006260, GO:0009263, GO:0055114, GO:0004748, GO:0005524, GO:0005971, GO:0016021","HUB"
"ppt_69712","W1PHS2tr=Uncharacterized protein  Amborella trichopoda","GO:0009987, GO:0016301, GO:0016020","HUB"
"ppt_62933","A0A061GPQ4tr=Epsin N-terminal domain-containing protein / clathrin assembly protein-related  Theobroma cacao (Cacao) (Cocoa)","GO:0016192, GO:0048268, GO:0005545, GO:0030276, GO:0030136","HUB"
"ppt_240177","A0A0C9RG75tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_28573_1268 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_80443","Q949K0tr=Putative centromere protein  Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","","HUB"
"ppt_214728","---NA---","","HUB"
"ppt_120286","---NA---","","HUB"
"ppt_54499","P68169sp=Non-legume hemoglobin Parasponia rigida","GO:0015671, GO:0005344, GO:0019825, GO:0020037, GO:0046872","HUB"
"ppt_51802","G7JDL2tr=Multi-copper oxidase-like protein  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0008447, GO:0005886, GO:0009506","HUB"
"ppt_250353","W9RM29tr=Histone-lysine N-methyltransferase ATX1  Morus notabilis","GO:0034968, GO:0048578, GO:0018024, GO:0046872, GO:0005634","HUB"
"ppt_231182","Q71H73sp=Histone H3.3 Vitis vinifera (Grape)","GO:0003677, GO:0046982, GO:0000786, GO:0030875","HUB"
"ppt_70383","W1PNH7sp=Ribonucleoside-diphosphate reductase  Amborella trichopoda","GO:0006260, GO:0009263, GO:0055114, GO:0004748, GO:0005524, GO:0005971","HUB"
"ppt_239786","F1DGA8tr=Phosphoenolpyruvate carboxylase kinase  Coffea arabica (Arabian coffee)","GO:0018105, GO:0035556, GO:0046777, GO:0005516, GO:0005524, GO:0009931, GO:0005634, GO:0005737","HUB"
"ppt_209807","---NA---","","HUB"
"ppt_47069","---NA---","","HUB"
"ppt_56943","PIRNR:PIRNR016255} Zea mays (Maize)","GO:0001732, GO:0009791, GO:0003743, GO:0005634, GO:0005829, GO:0016282, GO:0033290, GO:0071540","HUB"
"ppt_193958","A0A151T5X1tr=Condensin-2 complex subunit D3  Cajanus cajan (Pigeon pea) (Cajanus indicus)","GO:0007059, GO:0030261, GO:1903046, GO:0005488, GO:0000793","HUB"
"ppt_121550","---NA---","","HUB"
"ppt_183877","---NA---","","HUB"
"ppt_218135","---NA---","","HUB"
"ppt_70384","A0A0D2QFR9sp=Ribonucleoside-diphosphate reductase  Gossypium raimondii (New World cotton)","GO:0006260, GO:0009263, GO:0055114, GO:0004748, GO:0005524, GO:0005971, GO:0016021","HUB"
"ppt_137046","A0A0B0MK84tr=L-ascorbate oxidase  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0008447, GO:0005886","HUB"
"ppt_42644","---NA---","","HUB"
"ppt_174008","---NA---","","HUB"
"ppt_208502","---NA---","","HUB"
"ppt_137575","---NA---","","HUB"
"ppt_231681","A0A0D6QR02tr=Uncharacterized protein  Araucaria cunninghamii (Hoop pine) (Moreton Bay pine)","","HUB"
"ppt_178255","---NA---","","HUB"
"ppt_252492","---NA---","","HUB"
"ppt_215490","Isoform2 of Protein CHLOROPLAST IMPORT APPARATUS 2 OS=Arabidopsis thaliana GN=CIA2","GO:0006355, GO:0045036, GO:0005515, GO:0005634","HUB"
"ppt_137576","A0A0E3KJY5tr=Heat shock protein 70  Bryum argenteum","GO:0006457, GO:0006986, GO:0000166, GO:0005515","HUB"
"ppt_57981","A0A0C9RS04tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_15880_863 transcribed RNA sequence  Wollemia nobilis","","HUB"
"ppt_137045","A0A0B0MK84tr=L-ascorbate oxidase  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006826, GO:0055072, GO:0055114, GO:0004322, GO:0005507, GO:0008447, GO:0005886","HUB"
"ppt_126245","EnsemblPlants:GLYMA10G06710.1} Glycine max (Soybean) (Glycine hispida)","GO:0016836","HUB"
"ppt_42643","---NA---","","HUB"
